"","group.label"
"293","S_Mixe-3.DG"
"294","S_North_Ossetian-2.DG"
"295","S_BantuKenya-2.DG"
"296","S_Bougainville-1.DG"
"297","S_Adygei-2.DG"
"298","S_Bergamo-2.DG"
"299","S_Lahu-1.DG"
"300","S_Piapoco-2.DG"
"301","S_French-2.DG"
"302","S_Mbuti-2.DG"
"303","S_Naxi-3.DG"
"304","T_Bedzan-2.DG"
"305","T_Laka-2.DG"
"306","S_Quechua-2.DG"
"307","T_Baka-2.DG"
"308","S_Mozabite-2.DG"
"309","S_Palestinian-3.DG"
"310","S_Bulgarian-2.DG"
"311","S_Yoruba-1.DG"
"312","S_Georgian-1.DG"
"313","S_Khonda_Dora-1.DG"
"314","S_Mala-2.DG"
"315","T_Kikuyu-1.DG"
"316","T_Agaw-1.DG"
"317","T_Bulala-1.DG"
"318","S_Hezhen-2.DG"
"319","S_Karitiana-2.DG"
"320","S_Mayan-2.DG"
"321","S_Naxi-1.DG"
"322","S_Papuan-14.DG"
"323","S_Papuan-4.DG"
"324","S_Masai-2.DG"
"325","S_Papuan-6.DG"
"326","S_Chukchi-1.DG"
"327","S_Khomani_San-2.DG"
"328","S_Japanese-3.DG"
"329","S_Mbuti-1.DG"
"330","S_Papuan-11.DG"
"331","S_Mixtec-1.DG"
"332","T_Elmolo-1.DG"
"333","T_Sengwer-1.DG"
"334","S_Brahmin-2.DG"
"335","T_Amhara-2.DG"
"336","S_Xibo-2.DG"
"337","S_Even-2.DG"
"338","S_Saharawi-2.DG"
"339","S_Kyrgyz-1.DG"
"340","S_Albanian-1.DG"
"341","S_Korean-2.DG"
"342","T_Fulani-2.DG"
"343","Vindija_snpAD.DG"
"344","B_Dinka-3.DG"
"345","S_Bengali-2.DG"
"346","S_Estonian-1.DG"
"347","S_Yi-2.DG"
"348","S_Chipewyan-1.DG"
"349","S_Lezgin-1.DG"
"350","S_Kusunda-1.DG"
"351","Avar.SG"
"352","BI16.SG"
"353","Bur1.SG"
"354","Bur2.SG"
"355","HGDP00877.SG"
"356","HUI03.SG"
"357","Kor1.SG"
"358","Kor2.SG"
"359","Manny.SG"
"360","Mari.SG"
"361","TA6.SG"
"362","Tadjik.SG"
"363","Tsimshian.SG"
"364","Y2040.SG"
"365","HG00096.SG"
"366","HG00097.SG"
"367","HG00099.SG"
"368","HG00100.SG"
"369","HG00101.SG"
"370","HG00102.SG"
"371","HG00103.SG"
"372","HG00105.SG"
"373","HG00106.SG"
"374","HG00107.SG"
"375","HG00108.SG"
"376","HG00109.SG"
"377","HG00110.SG"
"378","HG00111.SG"
"379","HG00112.SG"
"380","HG00113.SG"
"381","HG00114.SG"
"382","HG00115.SG"
"383","HG00116.SG"
"384","HG00117.SG"
"385","HG00118.SG"
"386","HG00119.SG"
"387","HG00120.SG"
"388","HG00121.SG"
"389","HG00122.SG"
"390","HG00123.SG"
"391","HG00124.SG"
"392","HG00125.SG"
"393","HG00126.SG"
"394","HG00127.SG"
"395","HG00128.SG"
"396","HG00129.SG"
"397","HG00130.SG"
"398","HG00131.SG"
"399","HG00132.SG"
"400","HG00133.SG"
"401","HG00136.SG"
"402","HG00137.SG"
"403","HG00138.SG"
"404","HG00139.SG"
"405","HG00140.SG"
"406","HG00141.SG"
"407","HG00142.SG"
"408","HG00143.SG"
"409","HG00145.SG"
"410","HG00146.SG"
"411","HG00148.SG"
"412","HG00149.SG"
"413","HG00150.SG"
"414","HG00151.SG"
"415","HG00154.SG"
"416","HG00155.SG"
"417","HG00157.SG"
"418","HG00158.SG"
"419","HG00159.SG"
"420","HG00160.SG"
"421","HG00171.SG"
"422","HG00173.SG"
"423","HG00174.SG"
"424","HG00176.SG"
"425","HG00177.SG"
"426","HG00178.SG"
"427","HG00179.SG"
"428","HG00180.SG"
"429","HG00181.SG"
"430","HG00182.SG"
"431","HG00183.SG"
"432","HG00185.SG"
"433","HG00186.SG"
"434","HG00187.SG"
"435","HG00188.SG"
"436","HG00189.SG"
"437","HG00190.SG"
"438","HG00231.SG"
"439","HG00232.SG"
"440","HG00233.SG"
"441","HG00234.SG"
"442","HG00235.SG"
"443","HG00236.SG"
"444","HG00237.SG"
"445","HG00238.SG"
"446","HG00239.SG"
"447","HG00240.SG"
"448","HG00242.SG"
"449","HG00243.SG"
"450","HG00244.SG"
"451","HG00245.SG"
"452","HG00246.SG"
"453","HG00250.SG"
"454","HG00251.SG"
"455","HG00252.SG"
"456","HG00253.SG"
"457","HG00254.SG"
"458","HG00255.SG"
"459","HG00256.SG"
"460","HG00257.SG"
"461","HG00258.SG"
"462","HG00259.SG"
"463","HG00260.SG"
"464","HG00261.SG"
"465","HG00262.SG"
"466","HG00263.SG"
"467","HG00264.SG"
"468","HG00265.SG"
"469","HG00266.SG"
"470","HG00267.SG"
"471","HG00268.SG"
"472","HG00269.SG"
"473","HG00271.SG"
"474","HG00272.SG"
"475","HG00273.SG"
"476","HG00274.SG"
"477","HG00275.SG"
"478","HG00276.SG"
"479","HG00277.SG"
"480","HG00278.SG"
"481","HG00280.SG"
"482","HG00281.SG"
"483","HG00282.SG"
"484","HG00284.SG"
"485","HG00285.SG"
"486","HG00288.SG"
"487","HG00290.SG"
"488","HG00304.SG"
"489","HG00306.SG"
"490","HG00308.SG"
"491","HG00309.SG"
"492","HG00310.SG"
"493","HG00311.SG"
"494","HG00313.SG"
"495","HG00315.SG"
"496","HG00318.SG"
"497","HG00319.SG"
"498","HG00320.SG"
"499","HG00321.SG"
"500","HG00323.SG"
"501","HG00324.SG"
"502","HG00325.SG"
"503","HG00326.SG"
"504","HG00327.SG"
"505","HG00328.SG"
"506","HG00329.SG"
"507","HG00330.SG"
"508","HG00331.SG"
"509","HG00332.SG"
"510","HG00334.SG"
"511","HG00335.SG"
"512","HG00336.SG"
"513","HG00337.SG"
"514","HG00338.SG"
"515","HG00339.SG"
"516","HG00341.SG"
"517","HG00342.SG"
"518","HG00343.SG"
"519","HG00344.SG"
"520","HG00345.SG"
"521","HG00346.SG"
"522","HG00349.SG"
"523","HG00350.SG"
"524","HG00351.SG"
"525","HG00353.SG"
"526","HG00355.SG"
"527","HG00356.SG"
"528","HG00357.SG"
"529","HG00358.SG"
"530","HG00360.SG"
"531","HG00361.SG"
"532","HG00362.SG"
"533","HG00364.SG"
"534","HG00365.SG"
"535","HG00366.SG"
"536","HG00367.SG"
"537","HG00368.SG"
"538","HG00369.SG"
"539","HG00371.SG"
"540","HG00372.SG"
"541","HG00373.SG"
"542","HG00375.SG"
"543","HG00376.SG"
"544","HG00378.SG"
"545","HG00379.SG"
"546","HG00380.SG"
"547","HG00381.SG"
"548","HG00382.SG"
"549","HG00383.SG"
"550","HG00384.SG"
"551","HG00403.SG"
"552","HG00404.SG"
"553","HG00406.SG"
"554","HG00407.SG"
"555","HG00409.SG"
"556","HG00410.SG"
"557","HG00419.SG"
"558","HG00421.SG"
"559","HG00422.SG"
"560","HG00428.SG"
"561","HG00436.SG"
"562","HG00437.SG"
"563","HG00442.SG"
"564","HG00443.SG"
"565","HG00445.SG"
"566","HG00446.SG"
"567","HG00448.SG"
"568","HG00449.SG"
"569","HG00451.SG"
"570","HG00452.SG"
"571","HG00457.SG"
"572","HG00458.SG"
"573","HG00463.SG"
"574","HG00464.SG"
"575","HG00472.SG"
"576","HG00473.SG"
"577","HG00475.SG"
"578","HG00476.SG"
"579","HG00478.SG"
"580","HG00479.SG"
"581","HG00500.SG"
"582","HG00501.SG"
"583","HG00513.SG"
"584","HG00524.SG"
"585","HG00525.SG"
"586","HG00530.SG"
"587","HG00531.SG"
